Flight No,Origin,Destination,Airline,Equipment,Type,o_iata,d_iata
SV758,Jeddah,Delhi,Saudia,B77W,I,JED,DEL
SV759,Delhi,Jeddah,Saudia,B77W,I,DEL,JED
SV770,Jeddah,Mumbai,Saudia,A333,I,JED,BOM
SV771,Mumbai,Jeddah,Saudia,A333,I,BOM,JED
SV774,Riyadh,Cochin,Saudia,A333,I,RUH,COK
SV775,Cochin,Riyadh,Saudia,A333,I,COK,RUH
TC400,Dar-es-Salaam,Mumbai,Air Tanzania,B39M,I,DAR,BOM
TC401,Mumbai,Dar-es-Salaam,Air Tanzania,B39M,I,BOM,DAR
TG313,Bangkok,Kolkata,Thai Airways,B788,I,BKK,CCU
TG314,Kolkata,Bangkok,Thai Airways,B788,I,CCU,BKK
TG315,Bangkok,Delhi,Thai Airways,A359,I,BKK,DEL
TG316,Delhi,Bangkok,Thai Airways,A359,I,DEL,BKK
TG317,Bangkok,Mumbai,Thai Airways,B788,I,BKK,BOM
TG318,Mumbai,Bangkok,Thai Airways,B788,I,BOM,BKK
TG323,Bangkok,Delhi,Thai Airways,A320,I,BKK,DEL
TG324,Delhi,Bangkok,Thai Airways,A320,I,DEL,BKK
TG325,Bangkok,Bengaluru,Thai Airways ,A359,I,BKK,BLR
TG326,Bengaluru,Bangkok,Thai Airways,B788,I,BLR,BKK
TG329,Bangkok,Hyderabad,Thai Airways,B788,I,BKK,HYD
TG330,Hyderabad,Bangkok,Thai Airways,B788,I,HYD,BKK
TG331,Bangkok,Delhi,Thai Airways,A333,I,BKK,DEL
TG332,Delhi,Bangkok,Thai Airways,A333,I,DEL,BKK
TG337,Bangkok,Chennai,Thai Airways,B772,I,BKK,MAA
TG338,Chennai,Bangkok,Thai Airways,B772,I,MAA,BKK
TG343,Bangkok,Ahmedabad,Thai Airways,A320,I,BKK,AMD
TG344,Ahmedabad,Bangkok,Thai Airways,A320,I,AMD,BKK
TG348,Cochin,Bangkok,Thai Airways,A320,I,COK,BKK
TK6260,Doha,Hyderabad,Turkish Airlines,33X,I,DOH,HYD
TK6261,Hyderabad,Istanbul,Turkish Cargo,A332,I,HYD,IST
TK6298,Istanbul,Chennai,Turkish Airlines,33X,I,IST,MAA
TK6299,Chennai,Istanbul,Turkish Airlines,33X,I,MAA,IST
TK6466,Istanbul,Mumbai,Turkish Cargo,A332,I,IST,BOM
TK6578,Hyderabad,Istanbul,Turkish Cargo,A332,I,HYD,IST
TK716,Istanbul,Delhi,Turkish Airlines,B77W,I,IST,DEL
TK717,Delhi,Istanbul,Turkish Airlines,B77W,I,DEL,IST
TK720,Istanbul,Mumbai,Turkish Airlines,B77W,I,IST,BOM
TK721,Mumbai,Istanbul,Turkish Airlines,B77W,I,BOM,IST
TR578,Singapore,Chennai,Scoot,A320,I,SIN,MAA
TR579,Chennai,Singapore,Scoot,A320,I,MAA,SIN
